event_name,ticker,launch_date,next_earnings_date,days_to_earnings,earnings_eps,estimated_eps,surprise,surprise_percent
iPhone 12,AAPL,2020-10-13,2020-12-31,79,1.68,1.42,0.26,18.3099
iPhone 13,AAPL,2021-09-14,2021-09-30,16,1.24,1.24,0.0,0.0
iPhone 14,AAPL,2022-09-07,2022-09-30,23,1.29,1.27,0.02,1.5748
iPhone 15,AAPL,2023-09-12,2023-09-30,18,1.46,1.39,0.07,5.036
M1 Mac Launch,AAPL,2020-06-22,2020-06-30,8,0.65,0.51,0.14,27.451
MacBook Pro M1 Pro/Max,AAPL,2021-10-18,2021-12-31,74,2.1,1.89,0.21,11.1111
Apple Watch Series 8,AAPL,2022-09-07,2022-09-30,23,1.29,1.27,0.02,1.5748
Vision Pro Announcement,AAPL,2023-06-05,2023-06-30,25,1.26,1.19,0.07,5.8824
Vision Pro US Launch,AAPL,2024-01-08,2024-03-31,83,1.53,1.5,0.03,2.0
RTX 30 Series,NVDA,2020-09-01,2020-10-31,60,0.073,0.064,0.009,14.0625
RTX 40 Series,NVDA,2022-09-20,2022-10-31,41,0.058,0.071,-0.013,-18.3099
RTX 40 SUPER,NVDA,2024-01-08,2024-01-31,23,0.516,0.461,0.055,11.9306
RTX 3080 Ti / 3070 Ti,NVDA,2021-05-31,2021-07-31,61,0.104,0.102,0.002,1.9608
RTX 4070 Ti,NVDA,2023-01-03,2023-01-31,28,0.088,0.081,0.007,8.642
H100 Hopper GPU,NVDA,2022-03-22,2022-04-30,39,0.136,0.13,0.006,4.6154
Blackwell B200 / GB200,NVDA,2024-03-18,2024-04-30,43,0.612,0.559,0.053,9.4812
Xbox Series X/S,MSFT,2020-09-09,2020-09-30,21,1.82,1.54,0.28,18.1818
Windows 11,MSFT,2021-06-24,2021-06-30,6,2.17,1.92,0.25,13.0208
Surface Pro 8 & Laptop Studio,MSFT,2021-09-22,2021-09-30,8,2.27,2.07,0.2,9.6618
Surface Pro 9,MSFT,2022-10-12,2022-12-31,80,2.32,2.29,0.03,1.31
Copilot for Windows,MSFT,2023-09-21,2023-09-30,9,2.99,2.65,0.34,12.8302
Battery Day,TSLA,2020-09-22,2020-09-30,8,0.25,0.19,0.06,31.5789
Model S Plaid Delivery,TSLA,2021-05-20,2021-06-30,41,0.48,0.33,0.15,45.4545
AI Day 2 (Optimus/Dojo),TSLA,2022-09-30,2022-12-31,92,1.19,1.13,0.06,5.3097
Cybertruck Delivery Event,TSLA,2023-11-28,2023-12-31,33,0.71,0.74,-0.03,-4.0541
Model 3 Highland Refresh,TSLA,2023-09-01,2023-09-30,29,0.66,0.72,-0.06,-8.3333
Ryzen 5000 (Zen 3),AMD,2020-10-08,2020-12-31,84,0.52,0.48,0.04,8.3333
Radeon RX 6000 (RDNA 2),AMD,2020-10-28,2020-12-31,64,0.52,0.48,0.04,8.3333
Ryzen 7000 (Zen 4),AMD,2022-08-29,2022-09-30,32,0.67,0.7,-0.03,-4.2857
Radeon RX 7900 XTX/XT,AMD,2022-11-03,2022-12-31,58,0.69,0.67,0.02,2.9851
Instinct MI300X,AMD,2023-12-06,2023-12-31,25,0.77,0.77,0.0,0.0
PlayStation 5,SONY,2020-06-11,2020-06-30,19,0.344,0.088,0.256,290.9091
PSVR2,SONY,2022-11-02,2022-12-31,59,0.374,0.294,0.08,27.2109
PS5 Slim Refresh,SONY,2023-10-10,2023-12-31,82,0.4,0.332,0.068,20.4819
